Skolenavn,Longitude,Latitude
Berg skole,63.419.711,10.416.386
Bispehaugen skole,63.432.496,10.414.533
Blussuvoll skole,63.420.718,10.430.286
Bratsberg skole,63.350532,10.480762
Breidablikk skole,63.349729,10.360679
Brundalen skole,63.418570,10.479412
Byåsen skole,63.399593,10.361298
Charlottenlund barneskole,63.426921,10.487255
Charlottenlund ungdomsskole,63.427240,10.489774
Dalgård skole og ressurssenter,63.396215,10.340981
Eberg skole,63.419128,10.439498
Enhet for voksenopplæring,63.438862,10.428026
Flatåsen skole,63.376379,10.339100
Hallset skole,63.393130,10.367333
Hoeggen skole,63.400858,10.433411
Huseby skole,63.420125,10.363777
Hårstad skole,63.351720,10.382785
Ila skole,63.430993,10.371304
Jakobsli skole,63.429821,10.543343
Kalvskinnet skole,63.427442,10.390066
Kattem skole,63.345917,10.333948
Kolstad skole,63.368882,10.352208
Lade skole,63.450895,10.445359
Lianvatnet skole,63.398325,10.320745
Lilleby skole,63.440849,10.434804
Markaplassen skole,63.413331,10.528636
Nardo skole,63.407072,10.417630
Nidarvoll skole,63.398829,10.407334
Nyborg skole,63.410441,10.352851
Nypvang skole,63.331395,10.299791
Okstad skole,63.381396,10.379665
Ranheim skole,63.429901,10.522261
Romolslia skole,63.380734,10.364586
Rosenborg skole,63.429205,10.418145
Rosten skole,63.359008,10.381414
Rye skole,63.419769,10.144941
Saupstad skole,63.363015,10.350534
Selsbakk skole,63.393591,10.367499
Singsaker skole,63.423660,10.413591
Sjetne skole,63.368281,10.395935
Skolen St. Olavs hospital,63.420599,10.390465
Solbakken skole,63.403216,10.524227
Spongdal skole,63.354914,10.163493
Stabbursmoen skole,63.354110,10.350018
Stavset skole,63.387070,10.332896
Steindal skole,63.401175,10.430927
Strindheim skole,63.434092,10.455486
Sunnland skole,63.401634,10.410331
Sverresborg skole,63.418842,10.366620
Tonstad skole,63.363521,10.391094
Trondheim kommunale kulturskole,63.433529,10.402339
Ugla skole,63.399995,10.338719
Utleira skole,63.389366,10.426896
Vikåsen skole,63.412766,10.535019
Åsheim barneskole,63.355565,10.343798
Åsheim ungdomsskole,63.350015,10.340217
Åsvang skole,63.411911,10.452463
Åsveien skole og ressurssenter,63.415438,10.370587